file,status,url
"S009_D711_SUMMARY_JUDGMENT_ORDER.pdf",OK,"https://www.govinfo.gov/content/pkg/USCOURTS-mad-1_21-cv-11181/pdf/USCOURTS-mad-1_21-cv-11181-3.pdf"
"S003_EBAY_CRIMINAL_INFORMATION.pdf",OK,"https://www.justice.gov/usao-ma/media/1333086/dl"
"DOJ_FBI_PIG_MASK_AND_BOOK.jpg",OK,"https://www.justice.gov/sites/default/files/styles/d05/public/2024-07/gilbert_pr_image_1.jpg?itok=IQtSIX7y"
"S020_D986_STIPULATION_DISMISSAL.pdf",OK,"https://attorneywire.com/wp-content/uploads/2026/07/Steiner_et_al_v_eBay_Inc_et_al__madce-21-11181__0986.0.pdf"
"EBAY_HQ_2018_CC_BY_SA.jpg",OK,"https://commons.wikimedia.org/wiki/Special:Redirect/file/EBay_headquarters_2018.jpg?width=2560"
"NATICK_CENTER_2020_CC_BY_SA.jpg",OK,"https://commons.wikimedia.org/wiki/Special:Redirect/file/Natick_spring_2020.jpg?width=2560"
"SOUTH_NATICK_BACON_LIBRARY_CC0.jpg",OK,"https://commons.wikimedia.org/wiki/Special:Redirect/file/Bacon_Free_Library_-_South_Natick,_MA_-_DSC09574.jpg?width=2560"
"COCKROACH_CC0.jpg",OK,"https://commons.wikimedia.org/wiki/Special:Redirect/file/A_cockroach.jpg?width=1920"
"SPIDER_CC0.jpg",OK,"https://commons.wikimedia.org/wiki/Special:Redirect/file/Spider_image_view.jpg?width=1920"
"LARVAE_CC0.jpg",OK,"https://commons.wikimedia.org/wiki/Special:Redirect/file/Sawfly_larvae_on_globemallow_(Symphyta)_(30098020405).jpg?width=1920"
"PARCEL_CC0.webp",OK,"https://commons.wikimedia.org/wiki/Special:Redirect/file/Parcel_box_and_mailbox.webp?width=1920"
"FUNERAL_WREATH_CC0.jpg",OK,"https://commons.wikimedia.org/wiki/Special:Redirect/file/Funeral_wreath_09_27_1421u.JPG?width=1920"
"GENERIC_GPS_TRACKER_CC0.jpg",OK,"https://commons.wikimedia.org/wiki/Special:Redirect/file/Kippy_Tracker_Device.jpg?width=1920"
"OFFICE_INTERIOR_CC0.jpg",OK,"https://commons.wikimedia.org/wiki/Special:Redirect/file/Office_interior_2022_queue.jpg?width=2560"
"MASSACHUSETTS_FENCE_CC0.jpg",OK,"https://commons.wikimedia.org/wiki/Special:Redirect/file/Wooden_fence_-_Arlington,_MA_-_02.jpg?width=2560"
"NATURAL_EARTH_110M_ADMIN0_COUNTRIES.zip",OK,"https://naturalearth.s3.amazonaws.com/110m_cultural/ne_110m_admin_0_countries.zip"
