beat_id,source,job_id,status,cost_credits,result_url
B001,NEW_BATCH1_R2,267bab7e-4fe4-4f80-9bfc-6ebfa4578e08,COMPLETED,0.5,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260922_142950_267bab7e-4fe4-4f80-9bfc-6ebfa4578e08.png
B002,NEW_BATCH1_R2,6e3c12ab-ea7a-47cb-a6d0-ac01f05ac9ba,COMPLETED,0.5,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260922_142950_6e3c12ab-ea7a-47cb-a6d0-ac01f05ac9ba.png
B003,NEW_BATCH1_R2,63649177-19c2-4499-8a95-6cf74215b01e,COMPLETED,0.5,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260922_142947_63649177-19c2-4499-8a95-6cf74215b01e.png
B004,NEW_BATCH1_R2,88e7ebf5-e4d4-4d98-b9e5-5fb40344963d,COMPLETED,0.5,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260922_142947_88e7ebf5-e4d4-4d98-b9e5-5fb40344963d.png
B005,NEW_BATCH1_R2,cb4c1881-eee2-429e-9278-9d534122ab4b,COMPLETED,0.5,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260922_142947_cb4c1881-eee2-429e-9278-9d534122ab4b.png
B006,REUSED_ACCEPTED_TEST,a325ff85-97a3-4392-bd1d-4bfd040c0b75,COMPLETED,0.5,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260922_131555_a325ff85-97a3-4392-bd1d-4bfd040c0b75.png
B007,NEW_BATCH1_R2,98b63a51-9e55-4bba-b11f-4d1ad9aa6186,COMPLETED,0.5,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260922_142947_98b63a51-9e55-4bba-b11f-4d1ad9aa6186.png
B008,NEW_BATCH1_R2,ef3caf42-a8f5-4596-9699-24e57e9802c0,COMPLETED,0.5,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260922_143016_ef3caf42-a8f5-4596-9699-24e57e9802c0.png
B009,NEW_BATCH1_R2,ab034dc2-9d09-4e49-8815-a27041707b71,COMPLETED,0.5,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260922_143014_ab034dc2-9d09-4e49-8815-a27041707b71.png
B010,NEW_BATCH1_R2,dcca88e8-628f-49fb-962e-0d1f9f5e3189,COMPLETED,0.5,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260922_143018_dcca88e8-628f-49fb-962e-0d1f9f5e3189.png
B011,NEW_BATCH1_R2,b6dc6e63-9801-4a59-99de-71c5c5b58cca,COMPLETED,0.5,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260922_143017_b6dc6e63-9801-4a59-99de-71c5c5b58cca.png
