generation_slot,beat_id,section,start,end,frame_family,editor_overlay,generated_text_policy,factual_reference_ids,safe_attach_ids,reference_only_ids,composition_variant,legal_guardrail,subtitle_safe,final_prompt,status
G001,B002,S01,9.080,16.880,T04_CONSEQUENCE_DOSSIER,NOT A FINE,NONE_EDITOR_OVERLAY_ONLY,RV049,,RV049,V1,"$1B is contractual termination fee/liquidated damages, not government fine, court award or regulator invoice.",BOTTOM_22_PERCENT_CLEAR,"FINAL VIDEO FRAME — G001 / B002 — 16:9 WHAT IT COST
SCENE PURPOSE / EDITOR OVERLAY: ""NOT A FINE""
VOICE CONTEXT: ""dollars. That billion dollars was not a government fine. It was not a court judgment. And it was not part of the twenty-billion-dollar purchase price.""
MODEL TEXT POLICY — HARD: generate NO new readable text, numerals, logos, seals, signatures, labels, dates, amounts or pseudo-document writing. Exact overlay is added later in locked Bebas Neue / Inter typography. Authentic source text may appear only inside an unchanged source crop.
VISUAL IDEA: Merger-agreement dossier with one contract edge as hero and three rejected-category slots for fine, judgment and purchase price; no court or regulator punishment imagery.
SOURCE REFERENCES: RV049.
SAFE ATTACHMENTS AFTER PREP: NONE.
FACTUAL REFERENCE ONLY / NEVER ATTACH RAW: RV049.
SOURCE FIDELITY: attached photo/UI must remain an unchanged photographic/screenshot element. Do not redraw a real face, fabricate an event, invent UI, or synthesize a document. Raw PDF/HTML forbidden.
COMPOSITION: Left-heavy editor-title zone; dominant source-backed object right; one secondary paper layer; restrained red rule. Merger-agreement dossier with one contract edge as hero and three rejected-category slots for fine, judgment and purchase price; no court or regulator punishment imagery.
STYLE: premium investigative business documentary; deep black/charcoal tactile field, warm paper layers, paper-white editorial zones, restrained signal-red #D32222, rare muted antique-gold hardware, realistic paper depth, subtle film grain, strong negative space. Evidence, money, power, consequence; not law-firm template or tech ad.
NON-MONOTONY: vary at least two of focal side, crop scale, paper layering, photo/document balance, connector geometry, red-accent placement from adjacent beats.
LEGAL / FACT LOCK: $1B is contractual termination fee/liquidated damages, not government fine, court award or regulator invoice.
SUBTITLE SAFE — HARD: bottom 22% dark and visually quiet; no face/eyes, evidence, UI, title, amount, source label, caveat, map endpoint or important connector there.
REJECT: no horror, neon, fake courtroom, gavel/scales, money rain, fake stamps, fake document text, random redactions, dashboard/card grid, mirrored/duplicated person, cropped face, watermark, border or style-reference content leakage.
OUTPUT: final source-styled plate; 1920×1080 composition-ready; exact editor overlay applied deterministically.",FINAL_PROMPT_LOCKED_NO_SPEND
G002,B003,S01,17.580,26.700,T04_CONSEQUENCE_DOSSIER,CONTRACTUAL EXIT COST,NONE_EDITOR_OVERLAY_ONLY,RV025;RV049,RV025,RV049,V2,"Preserve exact chronology, attribution and legal status.",BOTTOM_22_PERCENT_CLEAR,"FINAL VIDEO FRAME — G002 / B003 — 16:9 WHAT IT COST
SCENE PURPOSE / EDITOR OVERLAY: ""CONTRACTUAL EXIT COST""
VOICE CONTEXT: ""It was a contractual termination payment money Adobe had agreed could become due if the deal failed under specified closing and regulatory circumstances.""
MODEL TEXT POLICY — HARD: generate NO new readable text, numerals, logos, seals, signatures, labels, dates, amounts or pseudo-document writing. Exact overlay is added later in locked Bebas Neue / Inter typography. Authentic source text may appear only inside an unchanged source crop.
VISUAL IDEA: Adobe and Figma source cards flank a central merger folder; a restrained red downside tab emerges from the contract.
SOURCE REFERENCES: RV025; RV049.
SAFE ATTACHMENTS AFTER PREP: RV025.
FACTUAL REFERENCE ONLY / NEVER ATTACH RAW: RV049.
SOURCE FIDELITY: attached photo/UI must remain an unchanged photographic/screenshot element. Do not redraw a real face, fabricate an event, invent UI, or synthesize a document. Raw PDF/HTML forbidden.
COMPOSITION: Upper-right hero source object; smaller upper-left support layer; wide center negative space. Adobe and Figma source cards flank a central merger folder; a restrained red downside tab emerges from the contract.
STYLE: premium investigative business documentary; deep black/charcoal tactile field, warm paper layers, paper-white editorial zones, restrained signal-red #D32222, rare muted antique-gold hardware, realistic paper depth, subtle film grain, strong negative space. Evidence, money, power, consequence; not law-firm template or tech ad.
NON-MONOTONY: vary at least two of focal side, crop scale, paper layering, photo/document balance, connector geometry, red-accent placement from adjacent beats.
LEGAL / FACT LOCK: Preserve exact chronology, attribution and legal status.
SUBTITLE SAFE — HARD: bottom 22% dark and visually quiet; no face/eyes, evidence, UI, title, amount, source label, caveat, map endpoint or important connector there.
REJECT: no horror, neon, fake courtroom, gavel/scales, money rain, fake stamps, fake document text, random redactions, dashboard/card grid, mirrored/duplicated person, cropped face, watermark, border or style-reference content leakage.
OUTPUT: final source-styled plate; 1920×1080 composition-ready; exact editor overlay applied deterministically.",FINAL_PROMPT_LOCKED_NO_SPEND
G003,B004,S01,27.700,36.100,T04_CONSEQUENCE_DOSSIER,NEGOTIATED BEFORE FAILURE,NONE_EDITOR_OVERLAY_ONLY,RV050;RV051;RV052,,RV050;RV051;RV052,V3,"$1B is contractual termination fee/liquidated damages, not government fine, court award or regulator invoice.",BOTTOM_22_PERCENT_CLEAR,"FINAL VIDEO FRAME — G003 / B004 — 16:9 WHAT IT COST
SCENE PURPOSE / EDITOR OVERLAY: ""NEGOTIATED BEFORE FAILURE""
VOICE CONTEXT: ""The billion-dollar consequence was not invented after the acquisition collapsed. It had been negotiated before the merger agreement was even signed.""
MODEL TEXT POLICY — HARD: generate NO new readable text, numerals, logos, seals, signatures, labels, dates, amounts or pseudo-document writing. Exact overlay is added later in locked Bebas Neue / Inter typography. Authentic source text may appear only inside an unchanged source crop.
VISUAL IDEA: June/July negotiation papers sit behind a signed-deal folder so the red fee tab clearly predates the later failed-close cue.
SOURCE REFERENCES: RV050; RV051; RV052.
SAFE ATTACHMENTS AFTER PREP: NONE.
FACTUAL REFERENCE ONLY / NEVER ATTACH RAW: RV050; RV051; RV052.
SOURCE FIDELITY: attached photo/UI must remain an unchanged photographic/screenshot element. Do not redraw a real face, fabricate an event, invent UI, or synthesize a document. Raw PDF/HTML forbidden.
COMPOSITION: Centered tactile folder/paper architecture with asymmetric source card and one narrow red tab. June/July negotiation papers sit behind a signed-deal folder so the red fee tab clearly predates the later failed-close cue.
STYLE: premium investigative business documentary; deep black/charcoal tactile field, warm paper layers, paper-white editorial zones, restrained signal-red #D32222, rare muted antique-gold hardware, realistic paper depth, subtle film grain, strong negative space. Evidence, money, power, consequence; not law-firm template or tech ad.
NON-MONOTONY: vary at least two of focal side, crop scale, paper layering, photo/document balance, connector geometry, red-accent placement from adjacent beats.
LEGAL / FACT LOCK: $1B is contractual termination fee/liquidated damages, not government fine, court award or regulator invoice.
SUBTITLE SAFE — HARD: bottom 22% dark and visually quiet; no face/eyes, evidence, UI, title, amount, source label, caveat, map endpoint or important connector there.
REJECT: no horror, neon, fake courtroom, gavel/scales, money rain, fake stamps, fake document text, random redactions, dashboard/card grid, mirrored/duplicated person, cropped face, watermark, border or style-reference content leakage.
OUTPUT: final source-styled plate; 1920×1080 composition-ready; exact editor overlay applied deterministically.",FINAL_PROMPT_LOCKED_NO_SPEND
G004,B005,S01,37.040,47.160,T04_CONSEQUENCE_DOSSIER,PRICING THE RISK,NONE_EDITOR_OVERLAY_ONLY,RV001;RV012;RV049,RV001;RV012,RV049,V4,"Preserve exact chronology, attribution and legal status.",BOTTOM_22_PERCENT_CLEAR,"FINAL VIDEO FRAME — G004 / B005 — 16:9 WHAT IT COST
SCENE PURPOSE / EDITOR OVERLAY: ""PRICING THE RISK""
VOICE CONTEXT: ""So the real story is not simply why regulators had concerns about Adobe buying Figma. It is how two companies priced the risk that the deal might never close""
MODEL TEXT POLICY — HARD: generate NO new readable text, numerals, logos, seals, signatures, labels, dates, amounts or pseudo-document writing. Exact overlay is added later in locked Bebas Neue / Inter typography. Authentic source text may appear only inside an unchanged source crop.
VISUAL IDEA: Balanced Adobe/Figma dossier with a central contract path splitting into close and failed-close outcomes; risk allocation is the hero.
SOURCE REFERENCES: RV001; RV012; RV049.
SAFE ATTACHMENTS AFTER PREP: RV001; RV012.
FACTUAL REFERENCE ONLY / NEVER ATTACH RAW: RV049.
SOURCE FIDELITY: attached photo/UI must remain an unchanged photographic/screenshot element. Do not redraw a real face, fabricate an event, invent UI, or synthesize a document. Raw PDF/HTML forbidden.
COMPOSITION: Diagonal editorial paper stack upper-left to center-right; source inset remains clearly photographic. Balanced Adobe/Figma dossier with a central contract path splitting into close and failed-close outcomes; risk allocation is the hero.
STYLE: premium investigative business documentary; deep black/charcoal tactile field, warm paper layers, paper-white editorial zones, restrained signal-red #D32222, rare muted antique-gold hardware, realistic paper depth, subtle film grain, strong negative space. Evidence, money, power, consequence; not law-firm template or tech ad.
NON-MONOTONY: vary at least two of focal side, crop scale, paper layering, photo/document balance, connector geometry, red-accent placement from adjacent beats.
LEGAL / FACT LOCK: Preserve exact chronology, attribution and legal status.
SUBTITLE SAFE — HARD: bottom 22% dark and visually quiet; no face/eyes, evidence, UI, title, amount, source label, caveat, map endpoint or important connector there.
REJECT: no horror, neon, fake courtroom, gavel/scales, money rain, fake stamps, fake document text, random redactions, dashboard/card grid, mirrored/duplicated person, cropped face, watermark, border or style-reference content leakage.
OUTPUT: final source-styled plate; 1920×1080 composition-ready; exact editor overlay applied deterministically.",FINAL_PROMPT_LOCKED_NO_SPEND
G005,B006,S01,47.760,52.320,T04_CONSEQUENCE_DOSSIER,THE RISK BECAME CASH,NONE_EDITOR_OVERLAY_ONLY,RV063;RV064,,RV063;RV064,V5,"$1B is contractual termination fee/liquidated damages, not government fine, court award or regulator invoice.",BOTTOM_22_PERCENT_CLEAR,"FINAL VIDEO FRAME — G005 / B006 — 16:9 WHAT IT COST
SCENE PURPOSE / EDITOR OVERLAY: ""THE RISK BECAME CASH""
VOICE CONTEXT: ""and how that risk eventually became a real one-billion-dollar cash payment.""
MODEL TEXT POLICY — HARD: generate NO new readable text, numerals, logos, seals, signatures, labels, dates, amounts or pseudo-document writing. Exact overlay is added later in locked Bebas Neue / Inter typography. Authentic source text may appear only inside an unchanged source crop.
VISUAL IDEA: Contract folder sends one restrained transfer line toward a Figma ledger card while the abandoned acquisition path fades.
SOURCE REFERENCES: RV063; RV064.
SAFE ATTACHMENTS AFTER PREP: NONE.
FACTUAL REFERENCE ONLY / NEVER ATTACH RAW: RV063; RV064.
SOURCE FIDELITY: attached photo/UI must remain an unchanged photographic/screenshot element. Do not redraw a real face, fabricate an event, invent UI, or synthesize a document. Raw PDF/HTML forbidden.
COMPOSITION: Two-sided dossier composition with controlled central gap; one red connector/tab; never a grid. Contract folder sends one restrained transfer line toward a Figma ledger card while the abandoned acquisition path fades.
STYLE: premium investigative business documentary; deep black/charcoal tactile field, warm paper layers, paper-white editorial zones, restrained signal-red #D32222, rare muted antique-gold hardware, realistic paper depth, subtle film grain, strong negative space. Evidence, money, power, consequence; not law-firm template or tech ad.
NON-MONOTONY: vary at least two of focal side, crop scale, paper layering, photo/document balance, connector geometry, red-accent placement from adjacent beats.
LEGAL / FACT LOCK: $1B is contractual termination fee/liquidated damages, not government fine, court award or regulator invoice.
SUBTITLE SAFE — HARD: bottom 22% dark and visually quiet; no face/eyes, evidence, UI, title, amount, source label, caveat, map endpoint or important connector there.
REJECT: no horror, neon, fake courtroom, gavel/scales, money rain, fake stamps, fake document text, random redactions, dashboard/card grid, mirrored/duplicated person, cropped face, watermark, border or style-reference content leakage.
OUTPUT: final source-styled plate; 1920×1080 composition-ready; exact editor overlay applied deterministically.",FINAL_PROMPT_LOCKED_NO_SPEND
G006,B011,S02,89.960,94.540,T02_PRODUCT_CORPORATE,HOW DIRECTLY DID THEY COMPETE?,NONE_EDITOR_OVERLAY_ONLY,RV037;RV044,RV037;RV044,,V1,"Preserve exact chronology, attribution and legal status.",BOTTOM_22_PERCENT_CLEAR,"FINAL VIDEO FRAME — G006 / B011 — 16:9 WHAT IT COST
SCENE PURPOSE / EDITOR OVERLAY: ""HOW DIRECTLY DID THEY COMPETE?""
VOICE CONTEXT: ""even though Adobe and Figma later disputed how directly their products competed.""
MODEL TEXT POLICY — HARD: generate NO new readable text, numerals, logos, seals, signatures, labels, dates, amounts or pseudo-document writing. Exact overlay is added later in locked Bebas Neue / Inter typography. Authentic source text may appear only inside an unchanged source crop.
VISUAL IDEA: Authentic Figma and Adobe product-context cards face each other across a wide unresolved gap; do not visually adjudicate direct competition.
SOURCE REFERENCES: RV037; RV044.
SAFE ATTACHMENTS AFTER PREP: RV037; RV044.
FACTUAL REFERENCE ONLY / NEVER ATTACH RAW: NONE.
SOURCE FIDELITY: attached photo/UI must remain an unchanged photographic/screenshot element. Do not redraw a real face, fabricate an event, invent UI, or synthesize a document. Raw PDF/HTML forbidden.
COMPOSITION: Left-heavy editor-title zone; dominant source-backed object right; one secondary paper layer; restrained red rule. Authentic Figma and Adobe product-context cards face each other across a wide unresolved gap; do not visually adjudicate direct competition.
STYLE: premium investigative business documentary; deep black/charcoal tactile field, warm paper layers, paper-white editorial zones, restrained signal-red #D32222, rare muted antique-gold hardware, realistic paper depth, subtle film grain, strong negative space. Evidence, money, power, consequence; not law-firm template or tech ad.
NON-MONOTONY: vary at least two of focal side, crop scale, paper layering, photo/document balance, connector geometry, red-accent placement from adjacent beats.
LEGAL / FACT LOCK: Preserve exact chronology, attribution and legal status.
SUBTITLE SAFE — HARD: bottom 22% dark and visually quiet; no face/eyes, evidence, UI, title, amount, source label, caveat, map endpoint or important connector there.
REJECT: no horror, neon, fake courtroom, gavel/scales, money rain, fake stamps, fake document text, random redactions, dashboard/card grid, mirrored/duplicated person, cropped face, watermark, border or style-reference content leakage.
OUTPUT: final source-styled plate; 1920×1080 composition-ready; exact editor overlay applied deterministically.",FINAL_PROMPT_LOCKED_NO_SPEND
G007,B013,S02,105.940,114.760,T02_PRODUCT_CORPORATE,HALF CASH / HALF STOCK,NONE_EDITOR_OVERLAY_ONLY,RV047;RV048,,RV047;RV048,V2,"Preserve exact chronology, attribution and legal status.",BOTTOM_22_PERCENT_CLEAR,"FINAL VIDEO FRAME — G007 / B013 — 16:9 WHAT IT COST
SCENE PURPOSE / EDITOR OVERLAY: ""HALF CASH / HALF STOCK""
VOICE CONTEXT: ""The consideration was expected to be roughly half cash and half Adobe stock. But the agreement did not guarantee that the transaction would close.""
MODEL TEXT POLICY — HARD: generate NO new readable text, numerals, logos, seals, signatures, labels, dates, amounts or pseudo-document writing. Exact overlay is added later in locked Bebas Neue / Inter typography. Authentic source text may appear only inside an unchanged source crop.
VISUAL IDEA: Deal folder with two equal consideration blocks, one cash-like ledger block and one stock-like abstract block; no invented securities text.
SOURCE REFERENCES: RV047; RV048.
SAFE ATTACHMENTS AFTER PREP: NONE.
FACTUAL REFERENCE ONLY / NEVER ATTACH RAW: RV047; RV048.
SOURCE FIDELITY: attached photo/UI must remain an unchanged photographic/screenshot element. Do not redraw a real face, fabricate an event, invent UI, or synthesize a document. Raw PDF/HTML forbidden.
COMPOSITION: Upper-right hero source object; smaller upper-left support layer; wide center negative space. Deal folder with two equal consideration blocks, one cash-like ledger block and one stock-like abstract block; no invented securities text.
STYLE: premium investigative business documentary; deep black/charcoal tactile field, warm paper layers, paper-white editorial zones, restrained signal-red #D32222, rare muted antique-gold hardware, realistic paper depth, subtle film grain, strong negative space. Evidence, money, power, consequence; not law-firm template or tech ad.
NON-MONOTONY: vary at least two of focal side, crop scale, paper layering, photo/document balance, connector geometry, red-accent placement from adjacent beats.
LEGAL / FACT LOCK: Preserve exact chronology, attribution and legal status.
SUBTITLE SAFE — HARD: bottom 22% dark and visually quiet; no face/eyes, evidence, UI, title, amount, source label, caveat, map endpoint or important connector there.
REJECT: no horror, neon, fake courtroom, gavel/scales, money rain, fake stamps, fake document text, random redactions, dashboard/card grid, mirrored/duplicated person, cropped face, watermark, border or style-reference content leakage.
OUTPUT: final source-styled plate; 1920×1080 composition-ready; exact editor overlay applied deterministically.",FINAL_PROMPT_LOCKED_NO_SPEND
G008,B014,S02,115.820,123.680,T02_PRODUCT_CORPORATE,CLOSING CONDITIONS,NONE_EDITOR_OVERLAY_ONLY,RV048;RV049,,RV048;RV049,V3,"$1B is contractual termination fee/liquidated damages, not government fine, court award or regulator invoice.",BOTTOM_22_PERCENT_CLEAR,"FINAL VIDEO FRAME — G008 / B014 — 16:9 WHAT IT COST
SCENE PURPOSE / EDITOR OVERLAY: ""CLOSING CONDITIONS""
VOICE CONTEXT: ""It still depended on regulatory approvals and other closing conditions. And by the time the public heard the twenty-billion-dollar headline,""
MODEL TEXT POLICY — HARD: generate NO new readable text, numerals, logos, seals, signatures, labels, dates, amounts or pseudo-document writing. Exact overlay is added later in locked Bebas Neue / Inter typography. Authentic source text may appear only inside an unchanged source crop.
VISUAL IDEA: Signed merger folder connects through several unresolved approval gates before a distant closing folder.
SOURCE REFERENCES: RV048; RV049.
SAFE ATTACHMENTS AFTER PREP: NONE.
FACTUAL REFERENCE ONLY / NEVER ATTACH RAW: RV048; RV049.
SOURCE FIDELITY: attached photo/UI must remain an unchanged photographic/screenshot element. Do not redraw a real face, fabricate an event, invent UI, or synthesize a document. Raw PDF/HTML forbidden.
COMPOSITION: Centered tactile folder/paper architecture with asymmetric source card and one narrow red tab. Signed merger folder connects through several unresolved approval gates before a distant closing folder.
STYLE: premium investigative business documentary; deep black/charcoal tactile field, warm paper layers, paper-white editorial zones, restrained signal-red #D32222, rare muted antique-gold hardware, realistic paper depth, subtle film grain, strong negative space. Evidence, money, power, consequence; not law-firm template or tech ad.
NON-MONOTONY: vary at least two of focal side, crop scale, paper layering, photo/document balance, connector geometry, red-accent placement from adjacent beats.
LEGAL / FACT LOCK: $1B is contractual termination fee/liquidated damages, not government fine, court award or regulator invoice.
SUBTITLE SAFE — HARD: bottom 22% dark and visually quiet; no face/eyes, evidence, UI, title, amount, source label, caveat, map endpoint or important connector there.
REJECT: no horror, neon, fake courtroom, gavel/scales, money rain, fake stamps, fake document text, random redactions, dashboard/card grid, mirrored/duplicated person, cropped face, watermark, border or style-reference content leakage.
OUTPUT: final source-styled plate; 1920×1080 composition-ready; exact editor overlay applied deterministically.",FINAL_PROMPT_LOCKED_NO_SPEND
G009,B015,S02,124.300,130.120,T02_PRODUCT_CORPORATE,THE OTHER NUMBER,NONE_EDITOR_OVERLAY_ONLY,RV049,,RV049,V4,"$1B is contractual termination fee/liquidated damages, not government fine, court award or regulator invoice.",BOTTOM_22_PERCENT_CLEAR,"FINAL VIDEO FRAME — G009 / B015 — 16:9 WHAT IT COST
SCENE PURPOSE / EDITOR OVERLAY: ""THE OTHER NUMBER""
VOICE CONTEXT: ""the contract already contained another number that would later become just as important. One billion dollars.""
MODEL TEXT POLICY — HARD: generate NO new readable text, numerals, logos, seals, signatures, labels, dates, amounts or pseudo-document writing. Exact overlay is added later in locked Bebas Neue / Inter typography. Authentic source text may appear only inside an unchanged source crop.
VISUAL IDEA: Public deal-announcement layer dominates one side while a smaller red-edged contract-clause tab is revealed underneath.
SOURCE REFERENCES: RV049.
SAFE ATTACHMENTS AFTER PREP: NONE.
FACTUAL REFERENCE ONLY / NEVER ATTACH RAW: RV049.
SOURCE FIDELITY: attached photo/UI must remain an unchanged photographic/screenshot element. Do not redraw a real face, fabricate an event, invent UI, or synthesize a document. Raw PDF/HTML forbidden.
COMPOSITION: Diagonal editorial paper stack upper-left to center-right; source inset remains clearly photographic. Public deal-announcement layer dominates one side while a smaller red-edged contract-clause tab is revealed underneath.
STYLE: premium investigative business documentary; deep black/charcoal tactile field, warm paper layers, paper-white editorial zones, restrained signal-red #D32222, rare muted antique-gold hardware, realistic paper depth, subtle film grain, strong negative space. Evidence, money, power, consequence; not law-firm template or tech ad.
NON-MONOTONY: vary at least two of focal side, crop scale, paper layering, photo/document balance, connector geometry, red-accent placement from adjacent beats.
LEGAL / FACT LOCK: $1B is contractual termination fee/liquidated damages, not government fine, court award or regulator invoice.
SUBTITLE SAFE — HARD: bottom 22% dark and visually quiet; no face/eyes, evidence, UI, title, amount, source label, caveat, map endpoint or important connector there.
REJECT: no horror, neon, fake courtroom, gavel/scales, money rain, fake stamps, fake document text, random redactions, dashboard/card grid, mirrored/duplicated person, cropped face, watermark, border or style-reference content leakage.
OUTPUT: final source-styled plate; 1920×1080 composition-ready; exact editor overlay applied deterministically.",FINAL_PROMPT_LOCKED_NO_SPEND
G010,B017,S03,138.300,146.580,T06_NEGOTIATION_CHRONOLOGY,BEFORE 2022,NONE_EDITOR_OVERLAY_ONLY,RV050,,RV050,V5,"Preserve exact chronology, attribution and legal status.",BOTTOM_22_PERCENT_CLEAR,"FINAL VIDEO FRAME — G010 / B017 — 16:9 WHAT IT COST
SCENE PURPOSE / EDITOR OVERLAY: ""BEFORE 2022""
VOICE CONTEXT: ""Adobe and Figma had discussed possible combinations before twenty twenty-two, but those earlier conversations did not produce a transaction.""
MODEL TEXT POLICY — HARD: generate NO new readable text, numerals, logos, seals, signatures, labels, dates, amounts or pseudo-document writing. Exact overlay is added later in locked Bebas Neue / Inter typography. Authentic source text may appear only inside an unchanged source crop.
VISUAL IDEA: Separate Adobe and Figma dossier cards connected by a faint prior-contact chronology that never reaches a completed transaction.
SOURCE REFERENCES: RV050.
SAFE ATTACHMENTS AFTER PREP: NONE.
FACTUAL REFERENCE ONLY / NEVER ATTACH RAW: RV050.
SOURCE FIDELITY: attached photo/UI must remain an unchanged photographic/screenshot element. Do not redraw a real face, fabricate an event, invent UI, or synthesize a document. Raw PDF/HTML forbidden.
COMPOSITION: Two-sided dossier composition with controlled central gap; one red connector/tab; never a grid. Separate Adobe and Figma dossier cards connected by a faint prior-contact chronology that never reaches a completed transaction.
STYLE: premium investigative business documentary; deep black/charcoal tactile field, warm paper layers, paper-white editorial zones, restrained signal-red #D32222, rare muted antique-gold hardware, realistic paper depth, subtle film grain, strong negative space. Evidence, money, power, consequence; not law-firm template or tech ad.
NON-MONOTONY: vary at least two of focal side, crop scale, paper layering, photo/document balance, connector geometry, red-accent placement from adjacent beats.
LEGAL / FACT LOCK: Preserve exact chronology, attribution and legal status.
SUBTITLE SAFE — HARD: bottom 22% dark and visually quiet; no face/eyes, evidence, UI, title, amount, source label, caveat, map endpoint or important connector there.
REJECT: no horror, neon, fake courtroom, gavel/scales, money rain, fake stamps, fake document text, random redactions, dashboard/card grid, mirrored/duplicated person, cropped face, watermark, border or style-reference content leakage.
OUTPUT: final source-styled plate; 1920×1080 composition-ready; exact editor overlay applied deterministically.",FINAL_PROMPT_LOCKED_NO_SPEND
